title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
Asian Journal of Technology Innovation,Routledge,journal,ECON;BUSI,Management of Technology and Innovation;Economics and Econometrics,0.997,0.677,4.5,4.3,33,493,4,0.0,35,629,10,0.0,56,755,34,0.0
Asian Journal of WTO and International Health Law and Policy,National Taiwan University (IEEB),journal,ECON;SOCI;MEDI,"Political Science and International Relations;Public Health, Environmental and Occupational Health;Economics and Econometrics;Law;Health (social science)",0.199,0.123,0.6,0.9,16,51,11,0.0,12,46,9,0.0,9,44,8,0.0
Asian Review of Accounting,Emerald Group Publishing Ltd.,journal,ECON;BUSI,Finance;Accounting,1.148,0.408,3.8,3.2,30,716,5,0.0,36,920,9,0.0,50,1003,28,2.0
Asian Review of Financial Research,Korean Finance Association,journal,ECON,Finance,0.266,0.143,0.3,0.5,18,7,13,5.56,16,9,15,0.0,8,8,8,0.0
Asian-Pacific Economic Literature,Wiley-Blackwell Publishing Ltd,journal,ECON;SOCI,"Geography, Planning and Development;Economics and Econometrics;Development",0.638,0.294,1.9,1.7,15,253,3,0.0,14,296,10,7.14,25,250,24,0.0
Atlantic Economic Journal,Springer Netherlands,journal,ECON,"Economics, Econometrics and Finance (all)",0.425,0.219,0.9,1.3,17,533,13,0.0,29,523,20,0.0,18,470,18,0.0
Auditing,American Accounting Association,journal,ECON;BUSI,Finance;Economics and Econometrics;Accounting,2.075,1.875,4.2,4.3,32,3760,2,0.0,34,4251,9,0.0,25,4271,17,0.0
"Australasian Accounting, Business and Finance Journal",University of Wollongong,journal,ECON;BUSI,"Business, Management and Accounting (all);Finance",0.775,0.391,4.2,3.9,61,494,20,0.0,59,664,36,0.0,41,881,34,2.44
Australasian Journal of Regional Studies,Australia and New Zealand Regional Science Association International Inc. (ANZRSAI),journal,ECON;SOCI;ENVI,"Economics, Econometrics and Finance (miscellaneous);Geography, Planning and Development;Management, Monitoring, Policy and Law;Urban Studies",0.299,0.204,0.8,1.1,7,75,6,0.0,13,60,12,7.69,0,52,0,0.0
Australasian Marketing Journal,SAGE Publications Ltd,journal,ECON;BUSI,Economics and Econometrics;Marketing,1.624,1.557,12.1,14.9,40,2337,8,0.0,41,2721,8,2.44,49,3134,30,2.04
Australian Economic Papers,Wiley-Blackwell Publishing Ltd,journal,ECON,"Economics, Econometrics and Finance (all)",0.696,0.488,3.5,3.2,35,503,5,0.0,37,555,11,0.0,63,559,53,0.0
